Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-07-29,97.16,97.39,94.95,95.7,236246,0,0
2011-08-01,96.2,98.6,93.42,94.89,284385,0,0
2011-08-02,95.02,95.68,93.08,93.79,398857,0,0
2011-08-03,93.15,93.75,91.22,91.93,328175,0,0
2011-08-04,91.94,92.59,86.04,86.63,350221,0,0
2011-08-05,86.5,88.32,82.87,86.88,535941,0,0
2011-08-08,85.71,85.73,80.17,81.31,512488,0,0
2011-08-09,81.1,83.05,75.71,79.3,521066,0,0
2011-08-10,81.9,83.14,79.53,82.89,605796,0,0
2011-08-11,81.95,85.97,81.03,85.72,520144,0,0
2011-08-12,85.55,87.37,84.02,85.38,502092,0,0
2011-08-15,85.59,88.05,84.4,87.88,350091,0,0
2011-08-16,87.68,87.93,85.62,86.65,292796,0,0
2011-08-17,87.1,89.0,86.65,87.58,375339,0,0
2011-08-18,87.41,87.53,81.15,82.38,344487,0,0
2011-08-19,81.3,83.55,79.17,82.26,331275,0,0
2011-08-22,82.42,84.67,81.13,84.12,148811,0,0
2011-08-23,84.45,86.39,83.4,85.44,374045,0,0
2011-08-24,85.67,86.59,84.55,85.16,353947,0,0
2011-08-25,85.17,86.56,83.01,85.3,294928,0,0
2011-08-26,85.09,85.64,82.95,85.37,357816,0,0
2011-08-29,85.33,87.62,85.11,87.27,283261,0,0
2011-08-30,87.51,89.21,86.46,88.9,208605,0,0
2011-08-31,88.79,89.54,87.67,88.81,315383,0,0
2011-09-01,88.73,89.9,88.21,88.93,317696,0,0
2011-09-02,88.78,88.99,85.42,86.45,282342,0,0
2011-09-06,86.46,86.6,83.2,86.02,307284,0,0
2011-09-07,86.5,90.48,86.15,89.34,316166,0,0
2011-09-08,90.11,90.23,88.59,89.05,313728,0,0
2011-09-09,88.77,89.5,85.64,87.24,336725,0,0
2011-09-12,86.7,88.95,85.0,88.19,349238,0,0
2011-09-13,88.95,90.52,87.81,90.21,355070,0,0
2011-09-14,89.88,90.25,88.21,88.91,364262,0,0
2011-09-15,88.6,90.15,88.01,89.4,330978,0,0
2011-09-16,89.11,89.78,87.0,87.96,296285,0,0
2011-09-19,87.75,87.75,84.79,85.7,210962,0,0
2011-09-20,85.84,87.46,85.11,86.89,132221,0,0
2011-09-21,86.51,87.99,84.92,85.92,264593,0,0
2011-09-22,84.81,85.0,79.66,80.51,298905,0,0
2011-09-23,80.4,81.81,77.55,79.85,459998,0,0
2011-09-26,79.64,81.36,77.11,80.24,427569,0,0
2011-09-27,81.48,84.77,80.92,84.45,325671,0,0
2011-09-28,83.76,84.62,80.54,81.21,313568,0,0
2011-09-29,80.67,83.98,79.64,82.14,282850,0,0
2011-09-30,83.07,83.23,78.6,79.2,351345,0,0
2011-10-03,78.92,79.64,76.65,77.61,367957,0,0
2011-10-04,76.4,77.99,74.95,75.67,392782,0,0
2011-10-05,78.25,79.82,76.94,79.68,428113,0,0
2011-10-06,79.71,82.9,79.08,82.59,336067,0,0
2011-10-07,82.57,84.0,81.36,82.98,386089,0,0
2011-10-10,82.75,86.09,82.75,85.41,377540,0,0
2011-10-11,85.7,86.64,83.97,85.81,264825,0,0
2011-10-12,85.2,86.59,84.52,85.57,362324,0,0
2011-10-13,84.93,85.39,83.17,84.23,294230,0,0
2011-10-14,84.47,87.4,83.77,86.8,360268,0,0
2011-10-17,87.48,88.18,85.88,86.38,274846,0,0
2011-10-18,86.2,89.03,85.55,88.34,227298,0,0
2011-10-19,88.26,89.51,85.87,86.11,203765,0,0
2011-10-20,86.1,86.94,84.1,85.3,112020,0,0
2011-10-21,86.5,88.89,85.95,87.4,389241,0,0
2011-10-24,87.05,91.88,87.0,91.27,296555,0,0
2011-10-25,91.69,94.65,91.1,93.17,484139,0,0
2011-10-26,92.59,93.92,90.0,90.2,489373,0,0
2011-10-27,90.98,94.25,90.74,93.96,411445,0,0
2011-10-28,93.93,93.93,92.01,93.32,327446,0,0
2011-10-31,93.53,93.8,91.36,93.19,276760,0,0
2011-11-01,92.58,92.88,89.17,92.19,228561,0,0
2011-11-02,91.6,93.79,90.97,92.51,351343,0,0
2011-11-03,92.99,94.61,90.87,94.07,265626,0,0
2011-11-04,94.24,94.93,92.87,94.26,299987,0,0
2011-11-07,94.26,96.11,93.23,95.52,295457,0,0
2011-11-08,95.87,97.08,95.23,96.8,321186,0,0
2011-11-09,96.81,97.84,94.54,95.74,313566,0,0
2011-11-10,95.75,98.35,95.2,97.78,445712,0,0
2011-11-11,97.51,99.2,97.35,98.99,347730,0,0
2011-11-14,99.3,99.69,97.19,98.14,282786,0,0
2011-11-15,98.04,99.84,97.51,99.37,351523,0,0
2011-11-16,99.32,102.89,98.39,102.59,353319,0,0
2011-11-17,101.76,103.37,98.28,98.82,379612,0,0
2011-11-18,98.61,100.15,96.64,97.41,194039,0,0
2011-11-21,97.54,97.86,95.24,96.92,341638,0,0
2011-11-22,97.2,98.7,96.55,98.01,279104,0,0
2011-11-23,97.79,97.87,95.35,96.17,319245,0,0
2011-11-28,97.5,100.74,97.13,98.21,185841,0,0
2011-11-29,97.75,100.15,97.23,99.79,311735,0,0
2011-11-30,99.48,101.75,98.92,100.36,320858,0,0
2011-12-01,100.51,101.17,98.87,100.2,302863,0,0
2011-12-02,100.0,101.56,99.76,100.96,275858,0,0
2011-12-05,101.23,102.44,100.24,100.99,245915,0,0
2011-12-06,100.45,101.42,100.2,101.28,239380,0,0
2011-12-07,101.11,101.94,99.67,100.49,217029,0,0
2011-12-08,100.84,101.73,97.71,98.34,330533,0,0
2011-12-09,98.08,99.91,97.36,99.41,340677,0,0
2011-12-12,99.58,99.68,97.54,97.77,318767,0,0
2011-12-13,97.85,101.25,97.64,100.14,279146,0,0
2011-12-14,100.33,100.33,94.21,94.95,380754,0,0
2011-12-15,94.89,95.99,93.31,93.87,377475,0,0
2011-12-16,93.42,94.79,92.52,93.53,273761,0,0
2011-12-19,93.76,94.42,92.54,93.88,205893,0,0
2011-12-20,94.14,97.45,94.14,97.22,114563,0,0
2011-12-21,97.53,99.25,96.8,98.67,242305,0,0
2011-12-22,99.03,100.05,98.51,99.53,219505,0,0
2011-12-23,99.48,100.23,99.24,99.68,151560,0,0
2011-12-27,99.92,101.77,99.37,101.34,95270,0,0
2011-12-28,101.25,101.71,99.11,99.36,124238,0,0
2011-12-29,99.59,99.92,98.3,99.65,164655,0,0
2011-12-30,99.78,100.16,98.61,98.83,153915,0,0
2012-01-03,99.7,103.18,99.65,102.96,154064,0,0
2012-01-04,102.99,103.74,101.88,103.22,275481,0,0
2012-01-05,103.29,103.73,101.3,101.81,271711,0,0
2012-01-06,101.35,102.8,100.88,101.56,295615,0,0
2012-01-09,101.92,102.15,100.1,101.31,290458,0,0
2012-01-10,101.3,103.41,101.3,102.24,311866,0,0
2012-01-11,102.2,102.46,100.55,100.87,291273,0,0
2012-01-12,101.0,102.98,98.5,99.1,311641,0,0
2012-01-13,99.2,100.19,97.7,98.7,370509,0,0
2012-01-17,98.95,101.01,98.6,100.71,335624,0,0
2012-01-18,100.91,102.06,99.84,100.59,341887,0,0
2012-01-19,101.14,102.06,99.98,100.39,269387,0,0
2012-01-20,100.39,100.74,97.91,98.46,120170,0,0
2012-01-23,98.34,100.24,97.4,99.58,304986,0,0
2012-01-24,99.88,100.18,98.25,98.95,238960,0,0
2012-01-25,99.2,100.4,97.53,99.4,242477,0,0
2012-01-26,99.96,101.39,99.23,99.7,322794,0,0
2012-01-27,99.93,100.63,99.13,99.56,260744,0,0
2012-01-30,100.0,100.05,98.43,98.78,253456,0,0
2012-01-31,98.88,101.29,97.86,98.48,215829,0,0
2012-02-01,98.38,99.49,97.11,97.61,373891,0,0
2012-02-02,97.11,97.99,95.44,96.36,293554,0,0
2012-02-03,96.61,98.03,96.01,97.84,331240,0,0
2012-02-06,97.74,97.75,96.38,96.91,318638,0,0
2012-02-07,97.13,99.13,95.84,98.41,257715,0,0
2012-02-08,98.77,100.09,98.1,98.71,415728,0,0
2012-02-09,99.1,100.18,98.66,99.84,364737,0,0
2012-02-10,99.89,99.89,97.32,98.67,295425,0,0
2012-02-13,99.33,101.0,99.09,100.91,307564,0,0
2012-02-14,100.73,101.84,100.28,100.74,268062,0,0
2012-02-15,100.9,102.54,100.61,101.8,314286,0,0
2012-02-16,101.9,102.69,100.84,102.31,278272,0,0
2012-02-17,102.35,104.14,102.25,103.24,197307,0,0
2012-02-21,104.65,106.07,104.26,105.84,134499,0,0
2012-02-22,106.01,106.72,105.61,106.28,316239,0,0
2012-02-23,105.95,108.74,105.45,107.83,241329,0,0
2012-02-24,108.66,109.95,107.95,109.77,325662,0,0
2012-02-27,109.67,109.77,107.27,108.56,267713,0,0
2012-02-28,107.95,108.79,106.3,106.55,277597,0,0
2012-02-29,106.46,107.43,104.84,107.07,278723,0,0
2012-03-01,106.82,110.55,106.55,108.84,353125,0,0
2012-03-02,108.75,109.03,105.8,106.7,389838,0,0
2012-03-05,106.75,107.42,105.5,106.72,299664,0,0
2012-03-06,107.11,107.34,104.51,104.7,237450,0,0
2012-03-07,104.93,106.55,104.35,106.16,332561,0,0
2012-03-08,106.24,107.2,105.84,106.58,333242,0,0
2012-03-09,106.91,108.2,106.13,107.4,279597,0,0
2012-03-12,107.5,107.56,105.38,106.34,292694,0,0
2012-03-13,106.55,107.35,105.67,106.71,234727,0,0
2012-03-14,106.69,107.02,105.12,105.43,282350,0,0
2012-03-15,105.5,106.18,103.78,105.11,283510,0,0
2012-03-16,105.44,107.34,105.13,107.06,371039,0,0
2012-03-19,107.18,108.24,106.55,108.09,192992,0,0
2012-03-20,107.82,107.91,105.35,105.61,110353,0,0
2012-03-21,106.33,107.64,106.06,107.27,329535,0,0
2012-03-22,106.81,107.12,104.5,105.35,252603,0,0
2012-03-23,105.52,108.25,105.16,106.87,295474,0,0
2012-03-26,106.79,107.32,106.19,107.03,260269,0,0
2012-03-27,107.09,107.73,106.52,107.33,162276,0,0
2012-03-28,106.81,106.94,104.67,105.41,209036,0,0
2012-03-29,105.58,105.7,102.13,102.78,309064,0,0
2012-03-30,103.29,104.15,102.78,103.02,319988,0,0
2012-04-02,103.27,105.49,102.06,105.23,244155,0,0
2012-04-03,105.04,105.18,103.59,104.01,278097,0,0
2012-04-04,104.09,104.12,101.08,101.47,245541,0,0
2012-04-05,101.96,103.4,101.37,103.31,300729,0,0
2012-04-09,102.53,102.6,100.81,102.46,242903,0,0
2012-04-10,102.33,102.96,100.68,101.02,205924,0,0
2012-04-11,100.94,103.13,100.84,102.7,312927,0,0
2012-04-12,102.55,104.24,102.39,103.64,283008,0,0
2012-04-13,103.66,103.9,102.61,102.83,271285,0,0
2012-04-16,102.8,103.37,101.8,102.93,227259,0,0
2012-04-17,103.15,105.07,102.66,104.2,284959,0,0
